date,total_viajes,total_ecologicos,total_tradicionales,porcentaje_ecologicos,porcentaje_tradicionales,promedio_precio_ecologico,promedio_precio_tradicional,promedio_velocidad_ecologica,promedio_velocidad_tradicional
2024-08-30,4,0,4,0.0,100.0,,24.06,,0.24
2024-08-29,88211,1599,86612,1.81,98.19,24.29,24.05,0.75,0.31
2024-08-28,93261,1593,91668,1.71,98.29,24.47,23.47,0.29,0.24
2024-08-27,84401,1525,82876,1.81,98.19,23.77,23.46,0.31,0.3
2024-08-26,75182,1550,73632,2.06,97.94,23.54,23.3,0.23,0.3
2024-08-25,73906,1308,72598,1.77,98.23,23.15,23.71,0.25,0.26
2024-08-24,81401,1246,80155,1.53,98.47,23.34,22.87,0.21,0.19
2024-08-23,81010,1454,79556,1.79,98.21,22.58,23.67,0.22,0.18
2024-08-22,85129,1505,83624,1.77,98.23,22.96,23.95,0.2,0.18
2024-08-21,84466,1460,83006,1.73,98.27,22.65,23.67,0.46,0.17
2024-08-20,83141,1452,81689,1.75,98.25,22.52,23.97,0.45,0.25
2024-08-19,73009,1443,71566,1.98,98.02,22.33,24.35,0.23,0.19
2024-08-18,74228,1203,73025,1.62,98.38,22.16,23.0,0.32,0.37
2024-08-17,84827,1276,83551,1.5,98.5,23.06,22.97,0.21,0.64
2024-08-16,84255,1407,82848,1.67,98.33,22.53,23.22,0.2,0.26
2024-08-15,90977,1559,89418,1.71,98.29,22.73,23.63,0.22,0.26
2024-08-14,90204,1446,88758,1.6,98.4,21.73,23.39,0.2,0.18
2024-08-13,83236,1424,81812,1.71,98.29,22.04,23.38,0.3,0.18
2024-08-12,71190,1459,69731,2.05,97.95,21.64,23.51,0.22,0.46
2024-08-11,71266,1187,70079,1.67,98.33,23.15,24.35,0.22,0.3
2024-08-10,86988,1181,85807,1.36,98.64,22.08,22.96,0.28,0.51
2024-08-09,82594,1360,81234,1.65,98.35,21.05,23.01,0.2,0.19
2024-08-08,98530,1643,96887,1.67,98.33,21.73,23.98,0.19,0.16
2024-08-07,99203,1558,97645,1.57,98.43,22.7,24.14,0.23,0.2
2024-08-06,108588,1715,106873,1.58,98.42,21.27,23.76,0.18,0.16
2024-08-05,83479,1463,82016,1.75,98.25,22.26,23.47,0.25,0.2
2024-08-04,76139,1203,74936,1.58,98.42,21.64,23.08,0.23,0.53
2024-08-03,103348,1272,102076,1.23,98.77,22.03,23.22,0.21,0.24
2024-08-02,96588,1664,94924,1.72,98.28,21.56,23.25,0.3,0.21
2024-08-01,106087,1634,104453,1.54,98.46,21.99,23.64,0.27,0.52
2024-07-31,99773,1501,98272,1.5,98.5,22.1,23.82,0.21,0.25
2024-07-30,93868,1447,92421,1.54,98.46,22.53,23.68,0.2,0.19
2024-07-29,78183,1536,76647,1.96,98.04,21.89,23.36,0.21,0.18
2024-07-28,78577,1292,77285,1.64,98.36,22.26,23.3,0.23,0.28
2024-07-27,88044,1184,86860,1.34,98.66,22.56,22.95,0.29,0.21
2024-07-26,89095,1572,87523,1.76,98.24,22.31,23.7,0.2,0.59
2024-07-25,102635,1654,100981,1.61,98.39,23.12,24.42,0.21,0.2
2024-07-24,103694,1614,102080,1.56,98.44,22.32,23.89,0.29,0.28
2024-07-23,98863,1581,97282,1.6,98.4,21.98,23.97,0.19,0.23
2024-07-22,83816,1487,82329,1.77,98.23,21.77,23.28,0.2,0.35
2024-07-21,81935,1328,80607,1.62,98.38,22.52,23.17,0.23,0.28
2024-07-20,96034,1327,94707,1.38,98.62,21.51,22.8,0.21,0.34
2024-07-19,94614,1542,93072,1.63,98.37,22.49,23.42,0.32,1.07
2024-07-18,107896,1652,106244,1.53,98.47,22.41,24.54,0.2,0.26
2024-07-17,117512,1683,115829,1.43,98.57,22.14,24.17,0.19,0.16
2024-07-16,116556,1598,114958,1.37,98.63,22.15,24.11,0.22,0.25
2024-07-15,90307,1525,88782,1.69,98.31,21.18,23.42,0.2,0.3
2024-07-14,85245,1217,84028,1.43,98.57,22.43,22.88,0.26,0.54
2024-07-13,91513,1275,90238,1.39,98.61,22.18,22.57,0.23,0.26
2024-07-12,91732,1520,90212,1.66,98.34,21.5,23.25,0.35,0.39
2024-07-11,105917,1681,104236,1.59,98.41,21.34,23.94,0.22,0.2
2024-07-10,108601,1738,106863,1.6,98.4,22.34,23.71,0.19,0.33
2024-07-09,100046,1557,98489,1.56,98.44,22.37,23.72,0.19,0.19
2024-07-08,79946,1470,78476,1.84,98.16,21.31,23.51,0.19,0.26
2024-07-07,65079,1286,63793,1.98,98.02,22.99,23.77,0.37,0.99
2024-07-06,66654,1204,65450,1.81,98.19,22.24,23.09,0.25,0.2
2024-07-05,66658,1306,65352,1.96,98.04,21.31,23.11,0.22,0.34
2024-07-04,54993,795,54198,1.45,98.55,20.75,23.08,0.22,0.28
2024-07-03,72514,1511,71003,2.08,97.92,21.84,22.9,0.2,0.22
2024-07-02,79906,1418,78488,1.77,98.23,22.39,23.22,0.2,0.42
2024-07-01,75829,1410,74419,1.86,98.14,21.69,23.39,0.28,0.39
2024-06-30,81803,1195,80608,1.46,98.54,23.01,23.94,0.31,0.42
2024-06-29,100302,1310,98992,1.31,98.69,22.13,23.11,0.32,0.21
2024-06-28,100085,1566,98519,1.56,98.44,22.72,24.05,0.2,0.36
2024-06-27,113566,1726,111840,1.52,98.48,22.69,24.86,0.28,0.4
2024-06-26,120665,1753,118912,1.45,98.55,22.13,24.41,0.2,0.24
2024-06-25,114471,1759,112712,1.54,98.46,22.5,24.25,0.19,0.26
2024-06-24,96657,1630,95027,1.69,98.31,22.03,23.76,0.19,0.6
2024-06-23,91530,1358,90172,1.48,98.52,22.87,22.82,0.24,0.33
2024-06-22,107955,1491,106464,1.38,98.62,22.15,22.41,0.2,0.24
2024-06-21,107450,1690,105760,1.57,98.43,22.01,23.23,0.18,0.21
2024-06-20,113038,1815,111223,1.61,98.39,21.87,24.01,0.18,0.23
2024-06-19,93371,1194,92177,1.28,98.72,21.98,22.83,0.21,0.29
2024-06-18,112174,1630,110544,1.45,98.55,21.99,23.61,0.19,0.18
2024-06-17,90285,1508,88777,1.67,98.33,21.51,22.98,0.32,0.19
2024-06-16,93738,1060,92678,1.13,98.87,22.8,23.56,0.21,0.5
2024-06-15,105358,1458,103900,1.38,98.62,22.75,22.55,0.27,0.19
2024-06-14,112357,1710,110647,1.52,98.48,22.25,23.17,0.19,0.25
2024-06-13,117308,1851,115457,1.58,98.42,22.08,23.72,0.19,0.21
2024-06-12,112611,1756,110855,1.56,98.44,22.13,23.65,0.2,0.25
2024-06-11,109187,1703,107484,1.56,98.44,22.49,23.64,0.2,0.24
2024-06-10,94534,1636,92898,1.73,98.27,22.27,23.67,0.2,0.75
2024-06-09,94518,1450,93068,1.53,98.47,22.63,24.19,0.26,0.36
2024-06-08,122071,1410,120661,1.16,98.84,22.6,23.11,0.21,0.46
2024-06-07,119356,1848,117508,1.55,98.45,22.77,23.49,0.18,0.18
2024-06-06,128617,1873,126744,1.46,98.54,22.21,24.75,0.18,0.24
2024-06-05,122554,1723,120831,1.41,98.59,22.62,24.25,0.18,0.31
2024-06-04,113347,1738,111609,1.53,98.47,22.41,24.25,0.19,0.29
2024-06-03,97895,1595,96300,1.63,98.37,22.16,23.7,0.19,0.42
2024-06-02,94694,1586,93108,1.67,98.33,22.82,24.25,0.22,0.51
2024-06-01,120471,1656,118815,1.37,98.63,21.92,23.08,0.21,0.3
2024-05-31,105954,1749,104205,1.65,98.35,22.22,23.55,0.18,0.24
2024-05-30,111850,1753,110097,1.57,98.43,22.62,24.15,0.2,0.16
2024-05-29,110820,1771,109049,1.6,98.4,22.42,24.48,0.18,0.3
2024-05-28,93558,1640,91918,1.75,98.25,22.66,24.22,0.25,0.28
2024-05-27,63890,1324,62566,2.07,97.93,20.82,22.8,0.28,0.56
2024-05-26,77714,1344,76370,1.73,98.27,22.13,22.97,0.22,0.44
2024-05-25,82298,1377,80921,1.67,98.33,21.8,22.53,0.25,0.58
2024-05-24,98239,1760,96479,1.79,98.21,22.73,23.58,0.18,0.22
2024-05-23,111117,1902,109215,1.71,98.29,22.25,24.23,0.19,0.2
2024-05-22,119303,1921,117382,1.61,98.39,22.54,24.25,0.18,0.39
2024-05-21,110801,1731,109070,1.56,98.44,22.65,24.02,0.2,0.27
2024-05-20,94781,1691,93090,1.78,98.22,22.42,23.61,0.19,0.18
2024-05-19,102253,1523,100730,1.49,98.51,21.0,23.8,0.21,0.25
2024-05-18,127358,1556,125802,1.22,98.78,22.07,23.44,0.2,0.66
2024-05-17,120356,1832,118524,1.52,98.48,22.36,23.56,0.18,0.34
2024-05-16,130116,2008,128108,1.54,98.46,22.33,24.57,0.18,0.25
2024-05-15,126130,1951,124179,1.55,98.45,22.64,25.19,0.19,0.43
2024-05-14,120357,1920,118437,1.6,98.4,22.67,25.03,0.19,0.22
2024-05-13,99433,1767,97666,1.78,98.22,22.45,24.22,0.2,0.35
2024-05-12,101010,1466,99544,1.45,98.55,22.66,23.0,0.24,0.37
2024-05-11,120993,1564,119429,1.29,98.71,21.46,22.97,0.19,0.19
2024-05-10,125591,1891,123700,1.51,98.49,22.18,23.74,0.34,0.36
2024-05-09,123986,1944,122042,1.57,98.43,22.78,24.46,0.23,0.29
2024-05-08,116228,1829,114399,1.57,98.43,22.49,24.39,0.26,0.31
2024-05-07,108854,1784,107070,1.64,98.36,22.65,24.26,0.18,0.51
2024-05-06,91569,1714,89855,1.87,98.13,21.71,24.37,0.35,0.19
2024-05-05,107549,1432,106117,1.33,98.67,21.28,23.1,0.26,0.34
